 Category,Sub Category,Item Name,Description,Quantity,Hsn Code,Photo,
Tents,14*28 FF,Inner,,0,998596,,
Tents,14*28 FF,non woven carpet (7.5 ft * 14ft) , 4 pieces per tent ,0,998596,,
Tents,14*28 FF,connector pipes 7ft, 6 pc per tent,0,998596,,
Tents,14*28 FF,outer,,0,998596,,
Tents,14*28 FF,Sockets ,Set of 23 Brown ,0,998596,8d0f1f1c-10a9-43c5-b137-1bcb37dd2c69.jpg,
Tents,14*28 HF,Inner,,0,998596,,
Tents,14*28 HF,non woven carpet (7.5 ft * 14ft) , 4 pieces per tent,0,998596,,
Tents,14*28 HF,connector pipes 7ft, 6 pc per tent, ,998596,,
Tents,14*28 HF,outer,,0,998596,,
Tents,14*28 HF,Sockets ,Set of 29 White,0,998596,1a23d5fd-cb64-4b88-9cbf-8b12f936673f.jpg,
Tents,18*22 ,connector pipes,,0,998596,,
Tents,18*22 ,inner ,,0,998596,,
Tents,18*22 ,outer,,0,998596,,
Tents,18*22 ,non woven carpet (6ft*12ft) , 4 pieces per tent,0,998596,,
Tents,18*22 ,Sockets ,,0,998596,,
Tents,24*24,connector pipes,,0,998596,,
Tents,24*24,inner ,,0,998596,,
Tents,24*24,outer,,0,998596,,
Tents,24*24,non woven carpet (12ft*24ft) ,1 pieces per tent,0,998596,,
Tents,24*24,non woven carpet (6ft) ,2 Pieces per tent,0,998596,,
Tents,24*24,Sockets ,,0,998596,,
Tents,Canopy,Cloth,12*12,0,998596,,
Tents,Canopy,Pillars,,0,998596,,
Tents,Canopy,Hinges,,0,998596,,
Tents,Dining Tent 15*30 ft,Cloth,15*30 ft,0,998596,,
Tents,Dining Tent 15*30 ft,Pillars,15*30 ft,0,998596,,
Tents,Dining Tent 15*30 ft,Hinges,15*30 ft,0,998596,,
Tents,Dining Tent 30*60 ft,Cloth,30*60 ft,0,998596,,
Tents,Dining Tent 30*60 ft,Pillars,30*60 ft,0,998596,,
Tents,Dining Tent 30*60 ft,Hinges,30*60 ft,0,998596,,
Tents,Staff Tent ,,12*24 ft,0,998596,,
Sanitary ,Fixture & Fittings,Basin Mixer,,0,998596,,
Sanitary ,Fixture & Fittings,Wall Mixer,,0,998596,,
Sanitary ,Fixture & Fittings,WC Pot,,0,998596,, 
Sanitary ,Fixture & Fittings,Hand Faucet ,,0,998596,, 
Sanitary ,Fixture & Fittings,WC Pot Plate,,0,998596,,
